created_at,id,price,quantity,taker_side
1551625212,95728764,425131.0,0.02,buy
1551625211,95728762,425168.0,0.1,buy
1551625211,95728761,425119.2,0.04560574,sell
1551625211,95728760,425129.0,0.716,sell
1551625211,95728759,425130.0,1.00000026,sell
1551625211,95728758,425131.0,0.04,sell
1551625211,95728757,425156.0,0.198394,sell
1551625211,95728756,425156.0,0.02,buy
1551625209,95728755,425162.01,0.1,buy
1551625209,95728754,425256.0,0.08572,buy
1551625209,95728753,425185.01,0.31428,buy
1551625209,95728752,425179.0,0.1,buy
1551625209,95728751,425104.0,0.12658906,sell
1551625209,95728750,425110.05778,0.1136545,sell
1551625209,95728749,425112.0,0.43577618,sell
1551625209,95728748,425112.02,0.004,sell
1551625209,95728747,425128.0,1.00000026,sell
1551625209,95728746,425154.0,0.1,sell
1551625209,95728745,425155.0,0.04,sell
1551625209,95728744,425155.0,0.04,sell
1551625209,95728743,425155.0,0.04,sell
1551625209,95728742,425155.0,0.04,sell
1551625209,95728741,425155.0,0.04,sell
1551625209,95728740,425156.0,0.01998,sell
1551625209,95728739,425185.01,0.1,buy
1551625208,95728738,425156.0,0.02002,sell
1551625208,95728737,425156.0,0.04,sell
1551625208,95728736,425156.0,0.04,sell
1551625208,95728735,425162.01,0.1,sell
1551625208,95728734,425165.0,0.91998,sell
1551625208,95728733,425165.0,0.08,sell
1551625207,95728731,425190.01,0.1,sell
1551625206,95728730,425165.01,0.92652286,sell
1551625206,95728729,425168.0,0.1,sell
1551625206,95728728,425176.0,0.04,sell
1551625206,95728727,425176.0,0.04,sell
1551625206,95728726,425176.0,0.04,sell
1551625206,95728725,425176.0,0.04,sell
1551625206,95728724,425176.0,0.04,sell
1551625206,95728723,425176.0,0.04,sell
1551625206,95728722,425176.0,0.04,sell
1551625206,95728721,425176.0,0.04,sell
1551625206,95728720,425179.0,0.1,sell
1551625206,95728719,425180.04,0.31347714,sell
1551625206,95728718,425180.04,0.1,sell
1551625206,95728717,425183.0,0.04,sell
1551625206,95728716,425190.03,0.1,sell
1551625205,95728715,425181.02,0.04,sell
1551625204,95728714,425277.08,0.5,buy
1551625204,95728713,425180.03,0.3814,sell
1551625204,95728712,425180.04,0.004,sell
1551625204,95728711,425184.0,0.1866,sell
1551625204,95728710,425196.01,0.1,sell
1551625204,95728709,425201.0,0.04,sell
1551625204,95728708,425208.59752,0.1,sell
1551625204,95728707,425216.0,1.188,sell
1551625203,95728706,425198.59752,0.30191426,buy
1551625202,95728703,425226.06,0.96,sell
1551625201,95728702,425198.59752,0.47496,sell
1551625201,95728701,425202.95,0.1,sell
1551625201,95728700,425207.0,0.04,sell
1551625201,95728699,425208.1,0.21076,sell
1551625201,95728698,425215.01,0.1,sell
1551625201,95728697,425215.01,0.06,sell
1551625201,95728696,425226.01,0.1,sell
1551625201,95728695,425226.05,0.91428,sell
1551625200,95728694,425226.04,0.04,sell
1551625200,95728693,425288.0,0.00000002,buy
1551625200,95728692,425288.0,0.00000002,buy
1551625200,95728691,425288.0,0.00000002,buy
1551625200,95728690,425288.0,0.00000002,buy
1551625200,95728689,425288.0,0.00000002,buy
1551625198,95728688,425286.0,0.04,sell
1551625198,95728687,425284.0,0.04,sell
1551625198,95728686,425276.0,0.1,sell
1551625198,95728685,425215.07,0.0512888,buy
1551625198,95728684,425215.07,0.09978162,buy
1551625197,95728683,425215.07,0.15107042,buy
1551625197,95728682,425288.0,3.991194,buy
1551625197,95728681,425287.99,0.794806,buy
1551625197,95728680,425286.0,0.04,buy
1551625197,95728679,425284.0,0.04,buy
1551625197,95728678,425276.0,0.1,buy
1551625197,95728677,425262.999,0.1,buy
1551625197,95728676,425262.0,0.66,buy
1551625197,95728675,425226.0,0.28,buy
1551625195,95728673,425215.01,0.04,sell
1551625194,95728671,425225.01,0.1,sell
1551625194,95728670,425225.66,0.1,sell
1551625194,95728669,425226.01,0.04,buy
1551625194,95728668,425226.01,0.12902,sell
1551625194,95728667,425226.01,0.08,sell
1551625192,95728665,425225.65,0.02,sell
1551625191,95728664,425225.65,0.04,sell
1551625191,95728663,425225.3,0.08,sell
1551625190,95728662,425225.3,0.2,sell
1551625183,95728660,425254.0,0.08,buy
1551625180,95728657,425254.0,0.66,buy
1551625179,95728656,425205.0,0.00439326,buy
1551625179,95728655,425205.0,0.03560674,buy
1551625179,95728654,425205.0,0.16278726,buy
1551625179,95728653,425205.0,0.4,buy
1551625178,95728652,425205.0,0.04,sell
1551625178,95728651,425206.0,0.5504,buy
1551625178,95728650,425205.99,0.3496,buy
1551625176,95728649,425235.0,0.886,sell
1551625176,95728647,425235.0,0.02,sell
1551625175,95728645,425202.63691,0.0954893,buy
1551625174,95728644,425202.63691,0.0051929,buy
1551625174,95728643,425235.0,0.04,sell
1551625174,95728642,425235.0,0.102,sell
1551625174,95728641,425252.4532,0.02735486,buy
1551625174,95728640,425252.4532,0.40819568,buy
1551625174,95728639,425235.0,0.6,sell
1551625173,95728638,425256.21,0.003,buy
1551625172,95728637,425266.0,0.1332,buy
1551625172,95728636,425287.98,0.0068,buy
1551625172,95728635,425202.63691,0.1006822,sell
1551625172,95728634,425214.52,0.59698,sell
1551625172,95728633,425220.0,0.04,sell
1551625172,95728632,425220.01,0.004,sell
1551625172,95728631,425228.0,0.02,sell
1551625172,95728630,425228.02,0.5,sell
1551625172,95728629,425234.0,0.60278726,sell
1551625172,95728628,425250.0,0.1,sell
1551625172,95728627,425252.4532,0.43555054,sell
1551625172,95728626,425266.0,0.0558,buy
1551625172,95728625,425279.45005,0.1,buy
